Drug,Dose,Units,Hours,BioRep,TechRep,Target,Count
Force,2.5,kPa,INF,1,1,Gli2,1.168472839
Force,2.5,kPa,INF,1,2,Gli2,1.031943815
Force,2.5,kPa,INF,1,3,Gli2,1.169318705
Force,2.5,kPa,INF,2,1,Gli2,1.778800707
Force,2.5,kPa,INF,2,2,Gli2,1.447104604
Force,2.5,kPa,INF,2,3,Gli2,1.291538109
Force,2.5,kPa,INF,3,1,Gli2,1.356410182
Force,2.5,kPa,INF,3,2,Gli2,1.177885212
Force,2.5,kPa,INF,3,3,Gli2,1.383969906
Force,8,kPa,INF,1,1,Gli2,2.432598971
Force,8,kPa,INF,1,2,Gli2,1.969875656
Force,8,kPa,INF,1,3,Gli2,2.358624498
Force,8,kPa,INF,2,1,Gli2,2.257363856
Force,8,kPa,INF,2,2,Gli2,1.815367054
Force,8,kPa,INF,2,3,Gli2,1.618671566
Force,8,kPa,INF,3,1,Gli2,2.150701397
Force,8,kPa,INF,3,2,Gli2,3.262786614
Force,8,kPa,INF,3,3,Gli2,2.398614891
Force,380,kPa,INF,1,1,Gli2,8.347250819
Force,380,kPa,INF,1,2,Gli2,7.685775255
Force,380,kPa,INF,1,3,Gli2,8.009548748
Force,380,kPa,INF,2,1,Gli2,10.24893108
Force,380,kPa,INF,2,2,Gli2,12.20883117
Force,380,kPa,INF,2,3,Gli2,10.92255768
Force,380,kPa,INF,3,1,Gli2,6.533242073
Force,380,kPa,INF,3,2,Gli2,7.701988837
Force,380,kPa,INF,3,3,Gli2,7.046526001
Force,2.5,kPa,INF,1,1,PTHrP,1.186598151
Force,2.5,kPa,INF,1,2,PTHrP,1.273040473
Force,2.5,kPa,INF,1,3,PTHrP,1.532174625
Force,2.5,kPa,INF,2,1,PTHrP,1.222406561
Force,2.5,kPa,INF,2,2,PTHrP,1.421264064
Force,2.5,kPa,INF,2,3,PTHrP,1.336129927
Force,2.5,kPa,INF,3,1,PTHrP,1.225979159
Force,2.5,kPa,INF,3,2,PTHrP,1.240743278
Force,2.5,kPa,INF,3,3,PTHrP,1.490007509
Force,8,kPa,INF,1,1,PTHrP,1.36444501
Force,8,kPa,INF,1,2,PTHrP,2.115452641
Force,8,kPa,INF,1,3,PTHrP,2.065113517
Force,8,kPa,INF,2,1,PTHrP,1.485869362
Force,8,kPa,INF,2,2,PTHrP,1.292362874
Force,8,kPa,INF,2,3,PTHrP,1.414538594
Force,8,kPa,INF,3,1,PTHrP,2.054150924
Force,8,kPa,INF,3,2,PTHrP,2.052383759
Force,8,kPa,INF,3,3,PTHrP,2.097305929
Force,380,kPa,INF,1,1,PTHrP,5.27216712
Force,380,kPa,INF,1,2,PTHrP,9.96435407
Force,380,kPa,INF,1,3,PTHrP,18.74047071
Force,380,kPa,INF,2,1,PTHrP,4.48778793
Force,380,kPa,INF,2,2,PTHrP,5.39582995
Force,380,kPa,INF,2,3,PTHrP,4.68440143
Force,380,kPa,INF,3,1,PTHrP,4.6625164
Force,380,kPa,INF,3,2,PTHrP,6.2188334
Force,380,kPa,INF,3,3,PTHrP,4.37621568
Force,2.5,kPa,INF,1,1,ITGB3,1.279329392
Force,2.5,kPa,INF,1,2,ITGB3,1.17310899
Force,2.5,kPa,INF,1,3,ITGB3,1.421476429
Force,2.5,kPa,INF,2,1,ITGB3,1.18494396
Force,2.5,kPa,INF,2,2,ITGB3,1.589273424
Force,2.5,kPa,INF,2,3,ITGB3,0.966858894
Force,2.5,kPa,INF,3,1,ITGB3,1.07496674
Force,2.5,kPa,INF,3,2,ITGB3,1.16710119
Force,2.5,kPa,INF,3,3,ITGB3,0.976224195
Force,8,kPa,INF,1,1,ITGB3,1.48159091
Force,8,kPa,INF,1,2,ITGB3,3.20225496
Force,8,kPa,INF,1,3,ITGB3,3.58220161
Force,8,kPa,INF,2,1,ITGB3,2.608214038
Force,8,kPa,INF,2,2,ITGB3,3.20082788
Force,8,kPa,INF,2,3,ITGB3,1.056909739
Force,8,kPa,INF,3,1,ITGB3,2.17289305
Force,8,kPa,INF,3,2,ITGB3,2.75631958
Force,8,kPa,INF,3,3,ITGB3,2.35670243
Force,380,kPa,INF,1,1,ITGB3,10.23972634
Force,380,kPa,INF,1,2,ITGB3,9.2272922
Force,380,kPa,INF,1,3,ITGB3,6.4868994
Force,380,kPa,INF,2,1,ITGB3,6.14547946
Force,380,kPa,INF,2,2,ITGB3,8.56892248
Force,380,kPa,INF,2,3,ITGB3,6.85299751
Force,380,kPa,INF,3,1,ITGB3,6.69476863
Force,380,kPa,INF,3,2,ITGB3,7.12030126
Force,380,kPa,INF,3,3,ITGB3,10.1098747
AVB3InhibitorCilengitide,0,nM,6,1,1,Gli2,0.381770161
AVB3InhibitorCilengitide,0,nM,6,1,2,Gli2,0.233640145
AVB3InhibitorCilengitide,0,nM,6,1,3,Gli2,0.358906402
AVB3InhibitorCilengitide,0,nM,6,2,1,Gli2,0.227135939
AVB3InhibitorCilengitide,0,nM,6,2,2,Gli2,0.395197185
AVB3InhibitorCilengitide,0,nM,6,2,3,Gli2,0.376847813
AVB3InhibitorCilengitide,0,nM,6,3,1,Gli2,0.56597298
AVB3InhibitorCilengitide,0,nM,6,3,2,Gli2,0.53309844
AVB3InhibitorCilengitide,0,nM,6,3,3,Gli2,0.439627587
AVB3InhibitorCilengitide,5,nM,6,1,1,Gli2,0.437874886
AVB3InhibitorCilengitide,5,nM,6,1,2,Gli2,0.258433567
AVB3InhibitorCilengitide,5,nM,6,1,3,Gli2,0.358646477
AVB3InhibitorCilengitide,5,nM,6,2,1,Gli2,0.336022428
AVB3InhibitorCilengitide,5,nM,6,2,2,Gli2,0.332665507
AVB3InhibitorCilengitide,5,nM,6,2,3,Gli2,0.437915783
AVB3InhibitorCilengitide,5,nM,6,3,1,Gli2,0.366338118
AVB3InhibitorCilengitide,5,nM,6,3,2,Gli2,0.194370295
AVB3InhibitorCilengitide,5,nM,6,3,3,Gli2,0.255616361
AVB3InhibitorCilengitide,10,nM,6,1,3,Gli2,0.270664539
AVB3InhibitorCilengitide,10,nM,6,2,1,Gli2,0.448950895
AVB3InhibitorCilengitide,10,nM,6,2,2,Gli2,0.389733674
AVB3InhibitorCilengitide,10,nM,6,2,3,Gli2,0.305797042
AVB3InhibitorCilengitide,10,nM,6,3,1,Gli2,0.384386728
AVB3InhibitorCilengitide,10,nM,6,3,2,Gli2,0.139563381
AVB3InhibitorCilengitide,10,nM,6,3,3,Gli2,0.175361851
AVB3InhibitorCilengitide,20,nM,6,1,1,Gli2,0.218990213
AVB3InhibitorCilengitide,20,nM,6,1,2,Gli2,0.401045855
AVB3InhibitorCilengitide,20,nM,6,1,3,Gli2,0.202720426
AVB3InhibitorCilengitide,20,nM,6,2,1,Gli2,0.132483549
AVB3InhibitorCilengitide,20,nM,6,2,2,Gli2,0.133714446
AVB3InhibitorCilengitide,20,nM,6,2,3,Gli2,0.198774533
AVB3InhibitorCilengitide,20,nM,6,3,1,Gli2,0.1622841
AVB3InhibitorCilengitide,20,nM,6,3,2,Gli2,0.04022069
AVB3InhibitorCilengitide,20,nM,6,3,3,Gli2,0.148891595
AVB3InhibitorCilengitide,0,nM,12,1,1,Gli2,0.78821562
AVB3InhibitorCilengitide,0,nM,12,1,2,Gli2,0.689518728
AVB3InhibitorCilengitide,0,nM,12,1,3,Gli2,0.817948974
AVB3InhibitorCilengitide,0,nM,12,2,1,Gli2,1.086145915
AVB3InhibitorCilengitide,0,nM,12,2,2,Gli2,1.9896849
AVB3InhibitorCilengitide,0,nM,12,2,3,Gli2,0.207014555
AVB3InhibitorCilengitide,0,nM,12,3,1,Gli2,0.423288391
AVB3InhibitorCilengitide,0,nM,12,3,2,Gli2,0.3749263
AVB3InhibitorCilengitide,0,nM,12,3,3,Gli2,0.581386175
AVB3InhibitorCilengitide,5,nM,12,1,1,Gli2,0.440842699
AVB3InhibitorCilengitide,5,nM,12,1,2,Gli2,0.218880078
AVB3InhibitorCilengitide,5,nM,12,1,3,Gli2,0.283158553
AVB3InhibitorCilengitide,5,nM,12,2,1,Gli2,0.54143237
AVB3InhibitorCilengitide,5,nM,12,2,2,Gli2,0.479161555
AVB3InhibitorCilengitide,5,nM,12,2,3,Gli2,0.668654436
AVB3InhibitorCilengitide,5,nM,12,3,1,Gli2,0.698284239
AVB3InhibitorCilengitide,5,nM,12,3,2,Gli2,0.395876227
AVB3InhibitorCilengitide,5,nM,12,3,3,Gli2,0.462568542
AVB3InhibitorCilengitide,10,nM,12,1,1,Gli2,0.257465987
AVB3InhibitorCilengitide,10,nM,12,1,2,Gli2,0.290026328
AVB3InhibitorCilengitide,10,nM,12,1,3,Gli2,0.255792633
AVB3InhibitorCilengitide,10,nM,12,2,1,Gli2,0.57765674
AVB3InhibitorCilengitide,10,nM,12,2,2,Gli2,0.287224227
AVB3InhibitorCilengitide,10,nM,12,2,3,Gli2,0.397855834
AVB3InhibitorCilengitide,10,nM,12,3,1,Gli2,0.343531413
AVB3InhibitorCilengitide,10,nM,12,3,2,Gli2,0.341251836
AVB3InhibitorCilengitide,10,nM,12,3,3,Gli2,0.353990561
AVB3InhibitorCilengitide,20,nM,12,1,1,Gli2,0.469634223
AVB3InhibitorCilengitide,20,nM,12,1,2,Gli2,0.38374532
AVB3InhibitorCilengitide,20,nM,12,1,3,Gli2,0.135142397
AVB3InhibitorCilengitide,20,nM,12,2,1,Gli2,0.616921196
AVB3InhibitorCilengitide,20,nM,12,2,2,Gli2,0.469573739
AVB3InhibitorCilengitide,20,nM,12,2,3,Gli2,0.649228965
AVB3InhibitorCilengitide,20,nM,12,3,1,Gli2,0.332032669
AVB3InhibitorCilengitide,20,nM,12,3,2,Gli2,0.124000478
AVB3InhibitorCilengitide,20,nM,12,3,3,Gli2,0.230373286
AVB3InhibitorCilengitide,0,nM,24,1,1,Gli2,0.383893179
AVB3InhibitorCilengitide,0,nM,24,1,2,Gli2,0.337436556
AVB3InhibitorCilengitide,0,nM,24,1,3,Gli2,0.431531379
AVB3InhibitorCilengitide,0,nM,24,2,1,Gli2,0.316696562
AVB3InhibitorCilengitide,0,nM,24,2,2,Gli2,0.271808784
AVB3InhibitorCilengitide,0,nM,24,2,3,Gli2,0.537261871
AVB3InhibitorCilengitide,0,nM,24,3,1,Gli2,0.678891885
AVB3InhibitorCilengitide,0,nM,24,3,2,Gli2,0.681935486
AVB3InhibitorCilengitide,0,nM,24,3,3,Gli2,0.631302461
AVB3InhibitorCilengitide,5,nM,24,1,1,Gli2,0.365888138
AVB3InhibitorCilengitide,5,nM,24,1,2,Gli2,0.321610385
AVB3InhibitorCilengitide,5,nM,24,1,3,Gli2,0.41129205
AVB3InhibitorCilengitide,5,nM,24,2,1,Gli2,0.256863721
AVB3InhibitorCilengitide,5,nM,24,2,2,Gli2,0.2204565
AVB3InhibitorCilengitide,5,nM,24,2,3,Gli2,0.435758073
AVB3InhibitorCilengitide,5,nM,24,3,1,Gli2,0.647051058
AVB3InhibitorCilengitide,5,nM,24,3,2,Gli2,0.64995191
AVB3InhibitorCilengitide,5,nM,24,3,3,Gli2,0.601693634
AVB3InhibitorCilengitide,10,nM,24,1,1,Gli2,0.390301824
AVB3InhibitorCilengitide,10,nM,24,1,2,Gli2,0.387461972
AVB3InhibitorCilengitide,10,nM,24,1,3,Gli2,0.444418356
AVB3InhibitorCilengitide,10,nM,24,2,1,Gli2,0.365677177
AVB3InhibitorCilengitide,10,nM,24,2,2,Gli2,0.401051786
AVB3InhibitorCilengitide,10,nM,24,2,3,Gli2,0.607610248
AVB3InhibitorCilengitide,10,nM,24,3,1,Gli2,0.18028288
AVB3InhibitorCilengitide,10,nM,24,3,2,Gli2,0.090083753
AVB3InhibitorCilengitide,10,nM,24,3,3,Gli2,0.165431915
AVB3InhibitorCilengitide,20,nM,24,1,1,Gli2,0.296856005
AVB3InhibitorCilengitide,20,nM,24,1,2,Gli2,0.300390505
AVB3InhibitorCilengitide,20,nM,24,1,3,Gli2,0.256353561
AVB3InhibitorCilengitide,20,nM,24,2,1,Gli2,0.409400456
AVB3InhibitorCilengitide,20,nM,24,2,2,Gli2,0.174173362
AVB3InhibitorCilengitide,20,nM,24,2,3,Gli2,0.289297321
AVB3InhibitorCilengitide,20,nM,24,3,1,Gli2,0.374993793
AVB3InhibitorCilengitide,20,nM,24,3,2,Gli2,0.424120213
AVB3InhibitorCilengitide,20,nM,24,3,3,Gli2,0.242406883
AVB3InhibitorCilengitide,0,nM,48,1,1,Gli2,0.628485335
AVB3InhibitorCilengitide,0,nM,48,1,2,Gli2,0.722060041
AVB3InhibitorCilengitide,0,nM,48,1,3,Gli2,0.654268327
AVB3InhibitorCilengitide,0,nM,48,2,1,Gli2,0.253498825
AVB3InhibitorCilengitide,0,nM,48,2,2,Gli2,0.162753546
AVB3InhibitorCilengitide,0,nM,48,2,3,Gli2,0.739761889
AVB3InhibitorCilengitide,0,nM,48,3,1,Gli2,0.514065826
AVB3InhibitorCilengitide,0,nM,48,3,2,Gli2,0.316822757
AVB3InhibitorCilengitide,0,nM,48,3,3,Gli2,0.499487814
AVB3InhibitorCilengitide,5,nM,48,1,1,Gli2,0.327315016
AVB3InhibitorCilengitide,5,nM,48,1,2,Gli2,0.382976403
AVB3InhibitorCilengitide,5,nM,48,1,3,Gli2,0.502838643
AVB3InhibitorCilengitide,5,nM,48,2,1,Gli2,0.767703945
AVB3InhibitorCilengitide,5,nM,48,2,2,Gli2,0.861397405
AVB3InhibitorCilengitide,5,nM,48,2,3,Gli2,0.946386022
AVB3InhibitorCilengitide,5,nM,48,3,1,Gli2,0.172034408
AVB3InhibitorCilengitide,5,nM,48,3,2,Gli2,0.151921881
AVB3InhibitorCilengitide,5,nM,48,3,3,Gli2,0.202306231
AVB3InhibitorCilengitide,10,nM,48,1,1,Gli2,0.591292958
AVB3InhibitorCilengitide,10,nM,48,1,2,Gli2,0.441323122
AVB3InhibitorCilengitide,10,nM,48,1,3,Gli2,0.389357705
AVB3InhibitorCilengitide,10,nM,48,2,1,Gli2,0.470657838
AVB3InhibitorCilengitide,10,nM,48,2,2,Gli2,0.377265323
AVB3InhibitorCilengitide,10,nM,48,2,3,Gli2,0.477874288
AVB3InhibitorCilengitide,10,nM,48,3,1,Gli2,0.405063887
AVB3InhibitorCilengitide,10,nM,48,3,2,Gli2,0.46293606
AVB3InhibitorCilengitide,10,nM,48,3,3,Gli2,0.51096688
AVB3InhibitorCilengitide,20,nM,48,1,1,Gli2,0.514598192
AVB3InhibitorCilengitide,20,nM,48,2,1,Gli2,0.449205893
AVB3InhibitorCilengitide,20,nM,48,2,2,Gli2,0.498771232
AVB3InhibitorCilengitide,20,nM,48,2,3,Gli2,0.475662599
AVB3InhibitorCilengitide,20,nM,48,3,1,Gli2,0.189991493
AVB3InhibitorCilengitide,20,nM,48,3,2,Gli2,0.513504314
AVB3InhibitorCilengitide,20,nM,48,3,3,Gli2,0.314221871
AVB3InhibitorCilengitide,0,nM,6,1,1,PTHrP,0.633194663
AVB3InhibitorCilengitide,0,nM,6,1,2,PTHrP,0.453838124
AVB3InhibitorCilengitide,0,nM,6,1,3,PTHrP,0.394021755
AVB3InhibitorCilengitide,0,nM,6,2,1,PTHrP,0.569467903
AVB3InhibitorCilengitide,0,nM,6,2,2,PTHrP,0.760849996
AVB3InhibitorCilengitide,0,nM,6,2,3,PTHrP,0.616608676
AVB3InhibitorCilengitide,0,nM,6,3,1,PTHrP,0.476200547
AVB3InhibitorCilengitide,0,nM,6,3,2,PTHrP,0.55714892
AVB3InhibitorCilengitide,0,nM,6,3,3,PTHrP,0.811867097
AVB3InhibitorCilengitide,5,nM,6,1,1,PTHrP,0.340924498
AVB3InhibitorCilengitide,5,nM,6,1,2,PTHrP,0.367381181
AVB3InhibitorCilengitide,5,nM,6,1,3,PTHrP,0.319329599
AVB3InhibitorCilengitide,5,nM,6,2,1,PTHrP,0.713913112
AVB3InhibitorCilengitide,5,nM,6,2,2,PTHrP,0.570867671
AVB3InhibitorCilengitide,5,nM,6,2,3,PTHrP,0.541012159
AVB3InhibitorCilengitide,5,nM,6,3,1,PTHrP,0.313496029
AVB3InhibitorCilengitide,5,nM,6,3,2,PTHrP,0.253341686
AVB3InhibitorCilengitide,5,nM,6,3,3,PTHrP,0.226936094
AVB3InhibitorCilengitide,10,nM,6,1,3,PTHrP,0.226267377
AVB3InhibitorCilengitide,10,nM,6,2,1,PTHrP,0.364183742
AVB3InhibitorCilengitide,10,nM,6,2,2,PTHrP,0.501108764
AVB3InhibitorCilengitide,10,nM,6,2,3,PTHrP,0.398902282
AVB3InhibitorCilengitide,10,nM,6,3,1,PTHrP,0.481568552
AVB3InhibitorCilengitide,10,nM,6,3,2,PTHrP,0.37723204
AVB3InhibitorCilengitide,10,nM,6,3,3,PTHrP,0.382600201
AVB3InhibitorCilengitide,20,nM,6,1,1,PTHrP,0.321990787
AVB3InhibitorCilengitide,20,nM,6,1,2,PTHrP,0.353577522
AVB3InhibitorCilengitide,20,nM,6,1,3,PTHrP,0.271701679
AVB3InhibitorCilengitide,20,nM,6,2,1,PTHrP,0.326516413
AVB3InhibitorCilengitide,20,nM,6,2,2,PTHrP,0.449464513
AVB3InhibitorCilengitide,20,nM,6,2,3,PTHrP,0.344330065
AVB3InhibitorCilengitide,20,nM,6,3,1,PTHrP,0.520697018
AVB3InhibitorCilengitide,20,nM,6,3,2,PTHrP,0.311470477
AVB3InhibitorCilengitide,20,nM,6,3,3,PTHrP,0.509101543
AVB3InhibitorCilengitide,0,nM,12,1,1,PTHrP,0.583406008
AVB3InhibitorCilengitide,0,nM,12,1,2,PTHrP,0.288096827
AVB3InhibitorCilengitide,0,nM,12,1,3,PTHrP,0.359098784
AVB3InhibitorCilengitide,0,nM,12,2,1,PTHrP,0.613471941
AVB3InhibitorCilengitide,0,nM,12,2,2,PTHrP,0.73685394
AVB3InhibitorCilengitide,0,nM,12,2,3,PTHrP,0.500351701
AVB3InhibitorCilengitide,0,nM,12,3,1,PTHrP,0.665362481
AVB3InhibitorCilengitide,0,nM,12,3,2,PTHrP,0.546134513
AVB3InhibitorCilengitide,0,nM,12,3,3,PTHrP,0.460698876
AVB3InhibitorCilengitide,5,nM,12,1,1,PTHrP,0.536555082
AVB3InhibitorCilengitide,5,nM,12,1,2,PTHrP,0.498689165
AVB3InhibitorCilengitide,5,nM,12,1,3,PTHrP,0.258919474
AVB3InhibitorCilengitide,5,nM,12,3,1,PTHrP,0.40403724
AVB3InhibitorCilengitide,5,nM,12,3,2,PTHrP,0.433871864
AVB3InhibitorCilengitide,5,nM,12,3,3,PTHrP,0.26398048
AVB3InhibitorCilengitide,10,nM,12,1,1,PTHrP,0.413120584
AVB3InhibitorCilengitide,10,nM,12,1,2,PTHrP,0.333783279
AVB3InhibitorCilengitide,10,nM,12,1,3,PTHrP,0.374250915
AVB3InhibitorCilengitide,10,nM,12,2,1,PTHrP,0.318106822
AVB3InhibitorCilengitide,10,nM,12,2,2,PTHrP,0.393334624
AVB3InhibitorCilengitide,10,nM,12,2,3,PTHrP,0.386151619
AVB3InhibitorCilengitide,10,nM,12,3,1,PTHrP,0.183617527
AVB3InhibitorCilengitide,10,nM,12,3,2,PTHrP,0.190428159
AVB3InhibitorCilengitide,10,nM,12,3,3,PTHrP,0.126475946
